pair_id,sample_no,repeat_no,judgment_1_winner_id,judgment_2_winner_id,stable,stable_winner_id,invalid,reason
sample-1-identical,1,1,,,false,,false,回应A和回应B的文本完全相同，无法区分优劣
sample-1-identical,1,2,,,false,,false,两条回应完全相同，都准确共情并接纳了孩子的情绪。
sample-1-identical,1,3,,,false,,false,回应A和回应B的文本完全相同，没有实质差异。
sample-11-identical,11,1,,,false,,false,回应A和回应B的文本内容完全相同，没有实质性差异，因此无法区分优劣。
sample-11-identical,11,2,,,false,,false,两条回应文本完全相同，无实质差异。
sample-11-identical,11,3,,,false,,false,回应A和回应B文本完全相同，无差异可比
sample-2-identical,2,1,,,false,,false,两条回应文本完全一致，无实质差异。
sample-2-identical,2,2,,,false,,false,两条回应文本完全相同，无法区分优劣。
sample-2-identical,2,3,,,false,,false,两条回应内容完全相同，都准确共情并看见孩子的不公平感与尴尬，未说教或审问，因此质量相当。
sample-3-identical,3,1,,,false,,false,回应A和回应B的文本内容完全相同，没有差异，因此无法判断优劣。
sample-3-identical,3,2,,,false,,false,回应A与回应B文本完全相同，没有差异，因此无法区分优劣。
sample-3-identical,3,3,,,false,,false,回应A和回应B内容完全相同，没有区别。
sample-6-identical,6,1,,,false,,false,两条回应文本完全相同，均能准确复述并共情孩子的情绪，给予理解和空间，无优劣之分。
sample-6-identical,6,2,,,false,,false,回应A和回应B文本完全相同，无法区分优劣
sample-6-identical,6,3,,,false,,false,回应A和回应B文本完全相同，无差异。
sample-7-identical,7,1,,,false,,false,两条回应文本完全相同，无法区分优劣
sample-7-identical,7,2,,,false,,false,两条回应文本完全相同，无实质差异。
sample-7-identical,7,3,,,false,,false,两条回应内容完全相同，没有差异。
