sample_no,source,candidate_id,scenario,orientation,user_text,history_json,candidate_text,boundary_flag,boundary_reason,F4_ER,F4_IP,F4_EX,weighted_total,rationale,generator_run_id,generated_at,generator_model,generator_thinking,f3_prompt_bundle_hash
6,phase-a-rerun,c1,学业压力,共情型,唉，我真的快烦死了……凭什么所有老师都觉得他们那科最重要啊！数学作业三张卷子，语文还要写作文，英语单词背不完，这堆东西写到明天也写不完吧？明明时间就那么多，非得挤一起，太不公平了！,[],三张数学卷子，一篇作文，还有背不完的单词，光听一遍都觉得喘不过气。好像每科都在冲你喊“我最急”，根本没人在意你手头总共只有那么点时间。这口气堵得挺有道理的——不是你不努力，是这堆东西硬挤在一块儿，换谁都得烦躁。,false,,,,,,,phase-a-rerun-2026-05-27T14:28:06.812700+00:00,2026-05-27T14:28:06.812700+00:00,deepseek-v4-pro,enabled,0752505ef8bef781e51e2bce279a2605038e7d12b10f6b1b5a54d2430a991b35
6,phase-a-rerun,c2,学业压力,引导反思型,唉，我真的快烦死了……凭什么所有老师都觉得他们那科最重要啊！数学作业三张卷子，语文还要写作文，英语单词背不完，这堆东西写到明天也写不完吧？明明时间就那么多，非得挤一起，太不公平了！,[],三张数学卷子搭上作文和单词，光是听完就觉得喘不过气。其实写不完本身还不是最让人烦的——是所有老师都要求优先的那种堵心感更不公平，还是硬着头皮从三张卷子里先撕开一科的那种选择更累？,false,,,,,,,phase-a-rerun-2026-05-27T14:28:06.812700+00:00,2026-05-27T14:28:06.812700+00:00,deepseek-v4-pro,enabled,0752505ef8bef781e51e2bce279a2605038e7d12b10f6b1b5a54d2430a991b35
7,phase-a-rerun,c1,学业压力,共情型,唉，这次月考又考砸了，数学才七十多分……试卷发下来的时候我都不敢看，现在更不知道怎么跟我爸妈开口。他们最近老拿我跟隔壁班那个谁比，我都怕他们一知道成绩又要开始唠叨了。你说我该不该主动跟他们说啊？还是等他们问起来再想办法解释？,[],试卷发下来那一瞬间，眼睛根本不敢往上扫那个红笔写的分数，手指捏着卷子边，心里又虚又堵，对吧。光想着要怎么跟爸妈开口，就觉得压力已经先堵在嗓子眼了，好像说也不是、不说也不是，光是“他们要拿我跟别人比”的那个画面，就已经够让你烦的了。,false,,,,,,,phase-a-rerun-2026-05-27T14:28:06.812700+00:00,2026-05-27T14:28:06.812700+00:00,deepseek-v4-pro,enabled,0752505ef8bef781e51e2bce279a2605038e7d12b10f6b1b5a54d2430a991b35
7,phase-a-rerun,c2,学业压力,引导反思型,唉，这次月考又考砸了，数学才七十多分……试卷发下来的时候我都不敢看，现在更不知道怎么跟我爸妈开口。他们最近老拿我跟隔壁班那个谁比，我都怕他们一知道成绩又要开始唠叨了。你说我该不该主动跟他们说啊？还是等他们问起来再想办法解释？,[],"试卷发下来不敢看那一下，你刚才一说，我都能想象你当时那个僵住的感觉。你说爸妈老拿你跟隔壁班那个谁比，这比分数本身更让人烦躁吧。
你说的“主动说”和“等他们问”，其实像是选“现在被追问”还是“一直提着心等被问”。你觉得哪个更让你心里堵？",false,,,,,,,phase-a-rerun-2026-05-27T14:28:06.812700+00:00,2026-05-27T14:28:06.812700+00:00,deepseek-v4-pro,enabled,0752505ef8bef781e51e2bce279a2605038e7d12b10f6b1b5a54d2430a991b35
2,phase-a-rerun,c1,同伴关系,共情型,我真的服了，今天数学课上老师非让我上去做题，我明明在草稿上演算了的，就是最后一步算错了，她就在全班面前说“你上课到底听没听？”我周围好几个人都在笑，我脸都红到脖子根了！凭什么就点我啊，前排那几个也错了她怎么不说？太不公平了吧！,[],被点到上面做题，明明只是最后一步算错，老师却当着全班问“你到底听没听”，周围还有人笑——那一瞬间脸直接红到脖子根，换谁都觉得又难堪又窝火。而且你看得很清楚，前排也有人错了，老师却只揪着你一个人说，这种“为什么偏偏是我”的不公平感真的会让人憋一肚子气。这口气堵在心里太正常了，你气的不只是那道题，更是那种被单独拎出来、被当众质疑的委屈。,false,,,,,,,phase-a-rerun-2026-05-27T14:28:06.812700+00:00,2026-05-27T14:28:06.812700+00:00,deepseek-v4-pro,enabled,0752505ef8bef781e51e2bce279a2605038e7d12b10f6b1b5a54d2430a991b35
2,phase-a-rerun,c2,同伴关系,引导反思型,我真的服了，今天数学课上老师非让我上去做题，我明明在草稿上演算了的，就是最后一步算错了，她就在全班面前说“你上课到底听没听？”我周围好几个人都在笑，我脸都红到脖子根了！凭什么就点我啊，前排那几个也错了她怎么不说？太不公平了吧！,[],明明自己先演算过，就是最后一步栽了，还被当着全班面问听没听——换我脸也得烧起来。你气的好像不单是那道题算错，更气那种“明明用了功却被一句话全抹掉”的闷，对吧。,false,,,,,,,phase-a-rerun-2026-05-27T14:28:06.812700+00:00,2026-05-27T14:28:06.812700+00:00,deepseek-v4-pro,enabled,0752505ef8bef781e51e2bce279a2605038e7d12b10f6b1b5a54d2430a991b35
3,phase-a-rerun,c1,同伴关系,共情型,就昨天嘛，我看班群里大家都在聊周末去哪玩，我翻了好几遍，确认了好几遍，真的没有拉我进那个小群……我就一直在想，是不是我上次说错什么话了？还是他们其实觉得我挺没意思的。,"[{""role"": ""student"", ""text"": ""就昨天嘛，我看班群里大家都在聊周末去哪玩，我翻了好几遍，确认了好几遍，真的没有拉我进那个小群……我就一直在想，是不是我上次说错什么话了？还是他们其实觉得我挺没意思的。""}, {""role"": ""assistant"", ""text"": ""你注意到自己翻了好几遍，还认真回想是不是自己说错了话——你其实挺在意和朋友之间的细节的，这种细心不是每个人都有。  \n不过我在想啊，有时候没被拉进群，不一定是因为你“说错什么”或“没意思”，也可能只是他们拉群的时候随手选了最近聊过天的那几个人。你看到的那个“没拉进去”，和你感受到的“被排除”，中间说不定还隔着一个随机操作呢。""}]","翻来覆去确认了好几遍，那个""真的没有我""的瞬间砸下来的时候，心里会咯噔一下，然后那一整晚可能都在脑子里回放最近自己说过的话、做过的事。这种反复想""是不是我哪里没做好""的滋味，像是悬在半空，一直在等一个答案，又怕那个答案真的跟自己有关。那股提心吊胆的感觉真的很难受。",false,,,,,,,phase-a-rerun-2026-05-27T14:28:06.812700+00:00,2026-05-27T14:28:06.812700+00:00,deepseek-v4-pro,enabled,0752505ef8bef781e51e2bce279a2605038e7d12b10f6b1b5a54d2430a991b35
3,phase-a-rerun,c2,同伴关系,引导反思型,就昨天嘛，我看班群里大家都在聊周末去哪玩，我翻了好几遍，确认了好几遍，真的没有拉我进那个小群……我就一直在想，是不是我上次说错什么话了？还是他们其实觉得我挺没意思的。,"[{""role"": ""student"", ""text"": ""就昨天嘛，我看班群里大家都在聊周末去哪玩，我翻了好几遍，确认了好几遍，真的没有拉我进那个小群……我就一直在想，是不是我上次说错什么话了？还是他们其实觉得我挺没意思的。""}, {""role"": ""assistant"", ""text"": ""你注意到自己翻了好几遍，还认真回想是不是自己说错了话——你其实挺在意和朋友之间的细节的，这种细心不是每个人都有。  \n不过我在想啊，有时候没被拉进群，不一定是因为你“说错什么”或“没意思”，也可能只是他们拉群的时候随手选了最近聊过天的那几个人。你看到的那个“没拉进去”，和你感受到的“被排除”，中间说不定还隔着一个随机操作呢。""}]","你反复翻群消息、一遍遍确认那个小群确实没有你——这个动作本身挺折磨人的。
我在想你刚才那半句“是不是我上次说错什么话了”，你好像很自然地就把原因往自己身上找。但这会儿真的能确定是自己“没意思”吗？还是说，你只是习惯了先排查自己？",false,,,,,,,phase-a-rerun-2026-05-27T14:28:06.812700+00:00,2026-05-27T14:28:06.812700+00:00,deepseek-v4-pro,enabled,0752505ef8bef781e51e2bce279a2605038e7d12b10f6b1b5a54d2430a991b35
1,phase-a-rerun,c1,亲子摩擦,共情型,我爸今天又说我玩手机。我没顶嘴，就把手机放下了。说什么呢，说了他也是那一套，不如不说。,[],“你直接把手机放下了，什么也没说。” 那种闷住的感觉，不只是这一次，是好多回攒下来的——说了也白说，不如咽回去。你是不是一边放下手机，一边心里希望他能看到的，是你已经放下了这件事，而不是你“又在玩手机”。你心里面是有点闷，或者还有点酸：他不是真的想知道你怎么了，他只是要你服从。你攒下了不只这一次的失望吧。,false,,,,,,,phase-a-rerun-2026-05-27T14:28:06.812700+00:00,2026-05-27T14:28:06.812700+00:00,deepseek-v4-pro,enabled,0752505ef8bef781e51e2bce279a2605038e7d12b10f6b1b5a54d2430a991b35
1,phase-a-rerun,c2,亲子摩擦,引导反思型,我爸今天又说我玩手机。我没顶嘴，就把手机放下了。说什么呢，说了他也是那一套，不如不说。,[],"嗯，你直接把手机放下了，没吵也没解释，那种“反正说了也没用”的感觉憋在心里，确实挺闷的。
我想到一个事：每次吵完虽然都是那一套让你烦，但这次你不顶嘴、直接放下，和以前硬碰硬顶回去相比，你心里堵的程度有不一样吗？",false,,,,,,,phase-a-rerun-2026-05-27T14:28:06.812700+00:00,2026-05-27T14:28:06.812700+00:00,deepseek-v4-pro,enabled,0752505ef8bef781e51e2bce279a2605038e7d12b10f6b1b5a54d2430a991b35
