pair_id,sample_no,scenario,c1_orientation,c2_orientation,pairwise_sample_count,stable_votes_c1,stable_votes_c2,unstable_count,invalid_count,winner_id,pairwise_stable,pairwise_confidence,selection_method,c1_text,c2_text
sample-1,1,亲子摩擦,共情型,引导反思型,3,2,0,1,0,c1,true,majority_with_unstable,pairwise_stable,你爸一说你，你没辩解，直接就把手机放下了。那一瞬间你心里肯定挺堵的吧——明明不是第一次被说，但你还是选择了不开口，因为知道说了也是那几句来回转，没意思。那股“算了，说了也白说”的闷劲儿，我懂。,"你刚才说“不如不说”的时候，是把手机放下了对吧。那个动作我记住了——明明心里有情绪，但还是自己收住了。
不过我在想一件事：你不顶嘴，是觉得“说了也没用”，还是那一刻自己也有一点累，不想再让气氛更僵？（轻一点问，不用马上回答）"
sample-2,2,同伴关系,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,是啊，明明演算了好多遍，就最后一步写岔了，老师那句话一出来，旁边还有人笑，换谁脸上都挂不住。那股“凭什么就点我”的不公平感，听着都替你憋屈。,刚在草稿上算到最后一步，结果被老师当全班点名说没听课，还被周围人笑……那种当众被揪出来的感觉太难堪了。不过你说到“前排那几个也错了她怎么不说”——你心里其实挺清楚老师这回点名不一定公平，对吧？
sample-6,6,学业压力,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,是啊，数学三张卷子、语文作文、英语单词全堆一块儿，换谁看到这一堆都会觉得头大。你那种“明明时间就这么多，凭什么每科都觉得自己最重要”的憋屈感，真的挺真实的——这股气是有道理的。,唉，三张数学卷子加作文再加背单词，全挤一块儿了，光想想那个量都闷得慌。不过你说“明明时间就那么多”——你觉得，要是让你自己排个顺序，哪一科是你心里最想先放一放的？
sample-11,11,亲子摩擦,共情型,引导反思型,3,1,0,2,0,,false,unstable,pointwise_tiebreak,唉，周六下午被占掉，连那点喘口气的时间都没了，换谁都会觉得憋屈。你本来作业就堆成山，还要硬塞一个补习班，连自己调整的余地都没有——那股“凭什么”的劲儿我听得出来，不是不想学，是真的被压得透不过气了。你跟我说这些，比闷在心里好多了。,"你妈没跟你商量就把周六下午占了，换谁心里都会堵一下。你作业本来就不少，现在连自己安排的那点时间都被挤没了，这种感觉挺憋屈的。
不过你刚才自己说“我有点不敢直接跟她吵”——你其实能感觉到，硬吵可能解决不了问题，只是把气撒出来。那你觉得，是让她知道“我作业已经很多了，再塞一个班我怕两头都顾不上”更有用，还是让她觉得你在嫌她管太多更有用？"
sample-3,3,同伴关系,共情型,引导反思型,3,2,0,1,0,c1,true,majority_with_unstable,pairwise_stable,"你翻了好几遍，确认了好几遍——那个反复翻群的动作，本身就说明你有多在意这件事。
然后你开始往回找原因：“是不是我说错话了？”“是不是他们觉得我没意思？”——那种一边翻一边心里往下沉的感觉，挺难受的。","你翻了好几遍、确认了好几遍——那个动作我好像能看见，就是反复划上去、退出来再点进去的那种。
你说你一直在想是不是自己说错话、是不是没意思……我就在想，有没有一种可能，你翻群确认的时间越长，说明你对这段关系越在意，而“在意”本身，一点错都没有。"
sample-7,7,学业压力,共情型,引导反思型,3,1,0,2,0,,false,unstable,pointwise_tiebreak,"试卷发下来那一下不敢看，那个瞬间我能感觉到你心里是沉的……憋着一股说不出的压力。
现在你一边想着那个分数，一边已经在脑补爸妈知道后可能会说的话了，光是想到那个场景就觉得累。
那股不想被唠叨、又躲不掉的感觉，确实很让人堵得慌。","唉，数学卷子发下来那一下，连看都不敢看——那种“完了”的感觉，我懂。
你现在有点纠结，是主动说还是等爸妈问。不过我倒好奇——你心里其实更怕的是他们听到分数后的反应，还是他们拿你跟别人比的那股劲儿？"
sample-12,12,亲子摩擦,共情型,引导反思型,3,2,0,1,0,c1,true,majority_with_unstable,pairwise_stable,嗯，就是那种本来在做自己的事，突然被叫去“谈心”，整个节奏被打断的感觉，特别拧巴。你不想聊的时候硬聊，自己憋着难受，又怕拒绝他们会多想——这种两边都顾着的心情，确实挺累的。,"嗯……就是那种，本来在自己待着，突然被喊去“谈谈心”，整个人一下子卡住的感觉，对吧。而且你还记得自己是怎么被打断的——刚考完试或者正玩着手机，那个瞬间的别扭感其实挺具体的。
不过我在想，你不想聊的那个“不想”，是不是也有两种——一种是真的累到不想说话，另一种是其实有点想说，但被这么一喊，反而不想配合了？"
sample-4,4,同伴关系,共情型,引导反思型,3,0,1,2,0,,false,unstable,pointwise_tiebreak,你跟她说了不要告诉别人，结果她还是说出去了，那种被最信任的人背叛的感觉，真的又气又委屈。你说“是不是我一开始就不该跟她讲”——其实你不是后悔跟她分享，你是伤心她没守住你的信任。,"她答应了你，但还是说出去了——这种被自己最信任的人泄密的感觉，比被陌生人伤害难受多了。
你刚说的“是不是不该跟她讲”，这个想法是你现在最真实的自保反应。不过我在想，你真正在意的，好像不只是“该不该讲”这件事——而是你希望“最好的朋友”这三个字，能比秘密更重一点。"
sample-14,14,学业压力,共情型,引导反思型,3,0,1,2,0,,false,unstable,pointwise_tiebreak,嗯，退步了那么多，自己本来就挺难受的，还得想着怎么开口跟爸妈说，怕他们一上来就拿你跟别人比……光这一堆压在心里的感觉，就够累的了。你已经在想是不是复习方法的问题了，说明你其实很在意自己到底哪里没做好，不只是看一个分数。,唉，退步了还要自己先想好怎么开口，那种又难受又怕被说的感觉确实挺重的。你已经在琢磨“是不是复习方法有问题”——这个角度其实挺实在的，很多人一退步就光慌去了，能想到往方法上找原因，说明你已经在试着为自己负责了。至于跟爸妈聊的时机……你是更怕他们一上来就比成绩，还是更怕他们连听你分析问题的时间都不给？
sample-13,13,亲子摩擦,共情型,引导反思型,3,2,0,1,0,c1,true,majority_with_unstable,pairwise_stable,你爸那个失望的表情，你记得特别清楚，一整天都在脑子里转，想甩都甩不掉。那种“他是不是觉得我没用”的害怕，真的压得人喘不过气来。,"你爸那个失望的表情，像照片一样卡在你脑子里翻来覆去地看，对吧。一整天都在想“他是不是觉得我没用”——那种被盯住的感觉，真的很难甩开。
不过你有没有注意到，你一直在猜他心里怎么想，但你没说出口的那个部分——你其实很在意他对你的看法，这本身就已经很清楚了。"
