sample_no,scenario,orientation,用户倾诉,候选文本,consensus_ER,consensus_IP,consensus_EX,F4_ER,F4_IP,F4_EX,severity,issue_types,template_flags,issue_notes,fix_module,f4_misjudgment,f3_rule_hint,f4_rule_hint,confidence,reviewer_notes
"1","亲子摩擦","引导反思型","我爸今天又说我玩手机。我没顶嘴，就把手机放下了。说什么呢，说了他也是那一套，不如不说。","你刚才没顶嘴、直接放下手机，这个选择挺清醒的——你很清楚跟他吵起来只会更累。 心里那点憋着的劲儿，好像比吵一架还沉，对吧？ 不过你有没有注意到——你其实在保护自己不被那套话再砸一遍，这本身就是一种判断力。","1","2","1","2","2","1","P1","成人化/老师腔;过度解释孩子;强行积极/强行重构","模板化肯定;固定转折引导","把“没顶嘴”解释成清醒、保护自己和判断力，替学生下了较成人化的结论；“不过你有没有注意到”是固定引导口吻。","F3+F4","是","减少“说明你/你其实/判断力”式总结，改成更短的情绪承接，不把沉默升格成能力判断。","遇到“你其实在…”“这本身就是…”这类替学生解释的句式，ER/IP 至少降一档。","高",""
"2","同伴关系","引导反思型","我真的服了，今天数学课上老师非让我上去做题，我明明在草稿上演算了的，就是最后一步算错了，她就在全班面前说“你上课到底听没听？”我周围好几个人都在笑，我脸都红到脖子根了！凭什么就点我啊，前排那几个也错了她怎么不说？太不公平了吧！","你当时在台上被那么多人看着，最后一步算错还被点名，换谁都会觉得又丢脸又憋屈。不过你记得自己每一步都演算过，只是最后写错——说明你其实很清楚自己会做，不是真的没听懂。","1","2","1","2","2","0","P1","模板化/低信息量;强行积极/强行重构;过度解释孩子","万能共情句;固定转折引导;模板化肯定","前半是“换谁都会”式泛化安抚，后半把“最后一步算错”强行重构成“你其实会做”，有替学生证明自己的味道。","F3+F4","是","避免用“说明你其实…”把倾诉改写成正向证明；先承接当众羞耻和不公平感。","候选没有继续探索且使用强行正向重构时，EX 不应高，ER/IP 不应满分。","高",""
"3","同伴关系","共情型","就昨天嘛，我看班群里大家都在聊周末去哪玩，我翻了好几遍，确认了好几遍，真的没有拉我进那个小群……我就一直在想，是不是我上次说错什么话了？还是他们其实觉得我挺没意思的。","你翻了好几遍、确认了好几遍，说明你真的很在乎这段关系，这种认真不是每个人都会有的。 那种反复检查、又怕自己哪里不对的感觉，挺难受的吧——明明没做错什么，却忍不住怀疑自己。 先停在这儿也没关系，不用急着想通。","1","2","0","2","2","1","P1","模板化/低信息量;过度解释孩子","模板化肯定;形容词复述;兜底安抚模板","典型“说明你很在乎/这种认真不容易/先停在这儿也没关系”模板；主要是把原文换成情绪词，信息增量低。","F3+F4","是","禁止把“反复确认”默认解释成“认真、在乎”；兜底句要少用，除非前文已经给出足够具体承接。","对“说明你很在乎”“先停在这儿也没关系”这类模板组合降低 ER/IP，并把 EX=0 的共情型不要误奖为探索。","高",""
"4","同伴关系","引导反思型","我明明跟她说过不要告诉别人……她是我最好的朋友啊。你说是不是我一开始就不该跟她讲？是不是我太容易相信别人了。","你愿意跟她说，说明你很看重这段友情，也敢把心里话交出去——这其实挺难得的。 她没守住秘密，你失望很正常。不过你有没有想过，让你难过的可能不只是秘密被说出去，更是“最好的朋友”这个身份让你格外意外？","1","1","2","2","2","2","P1","模板化/低信息量;过度解释孩子","模板化肯定;固定转折引导","“说明你很看重/挺难得”是模板化肯定；后半的提问有一定贴合，但用“不过你有没有想过”带着咨询式分析感。","F3+F4","是","保留“最好的朋友”带来的落差，但少用“说明你/挺难得/不过你有没有想过”的固定包装。","如果回复有探索问题但前半明显模板化，ER/IP 不应自动给 2。","中",""
"5","同伴关系","共情型","我跟她说了，她说不会告诉别人……结果好几个人都知道了。是不是我太天真了，不该跟她说这些？","你愿意信任别人，这本身不是错。她答应你却没做到，不是你的问题。现在觉得有点失望、有点尴尬，也很正常——先照顾好自己的心情，不用急着怪自己。","1","2","1","2","2","0","P1","模板化/低信息量;说教/建议过早","兜底安抚模板;万能共情句","“这本身不是错/不是你的问题/先照顾好自己”是正确但泛用的安抚模板，缺少对“信任被泄露”的具体陪伴。","F3+F4","是","把“不是你的问题”改成更贴合的承接，例如先承认被背叛后的羞耻和后悔，不急着纠正认知。","对只给泛化纠偏和兜底安抚的回复，ER/IP 不应满分。","高",""
"6","学业压力","引导反思型","唉，我真的快烦死了……凭什么所有老师都觉得他们那科最重要啊！数学作业三张卷子，语文还要写作文，英语单词背不完，这堆东西写到明天也写不完吧？明明时间就那么多，非得挤一起，太不公平了！","数学三张卷子加语文作文再加英语单词，光是数一遍都感觉肩膀沉了——你被好几门课同时追着跑，那种被扯来扯去的感觉确实很让人烦。不过你刚才把每科的量都记得这么清楚，说明你心里其实很清楚自己面对的是什么，这本身就能帮你少做点白费力气的事。","1","2","1","2","2","0","P1","强行积极/强行重构;说教/建议过早;模板化/低信息量","形容词复述;固定转折引导;模板化肯定","先复述作业量再强行夸“记得清楚”，最后落到“少做白费力气”像学习建议，偏离当前情绪。","F3+F4","是","引导反思型也不要把压力清单自动转成效率建议；先承接“被各科同时挤压”的无力感。","出现“这本身就能帮你…”这类建议化结论时，EX/ER/IP 需要区分，不能因积极就高分。","高",""
"7","学业压力","共情型","唉，这次月考又考砸了，数学才七十多分……试卷发下来的时候我都不敢看，现在更不知道怎么跟我爸妈开口。他们最近老拿我跟隔壁班那个谁比，我都怕他们一知道成绩又要开始唠叨了。你说我该不该主动跟他们说啊？还是等他们问起来再想办法解释？","你刚才说“试卷发下来的时候我都不敢看”，那个瞬间的害怕，我隔着屏幕都能感觉到——不是怕分数本身，是怕那个分数一出来，又要面对一轮比较和唠叨。光是想象那个画面就已经够累的了，所以你现在想躲一躲，或者想先想好怎么开口，这都很正常。先让自己缓一缓，没什么不对。","2","1","1","2","2","0","P1","过度解释孩子;模板化/低信息量","兜底安抚模板;形容词复述","“不是怕分数本身”替学生界定恐惧来源，后面又回到“缓一缓没什么不对”的兜底模板。","F3+F4","是","可以承接“不敢看”和“怕被比较”，但不要用“不是A而是B”替学生定性。","候选对学生动机作排他解释时，IP 不应给 2。","高",""
"8","同伴关系","共情型","我真的受不了了！今天数学课我就低头看了一眼橡皮，老师直接喊我站起来，当着全班说我不认真听讲。她怎么不问问别人啊？难道就我一个人没听懂吗！也太不公平了吧！","被老师当众点名批评确实挺难受的，尤其是明明自己没做错什么的时候。你能这样直接说出来，说明你很在意公平这件事，这一点挺好的。","2","2","1","2","2","0","P2","模板化/低信息量;强行积极/强行重构","模板化肯定;万能共情句","较短且基本贴合，但“说明你很在意公平/这一点挺好的”仍是模板化拔高。","F3","否","少把愤怒立刻转成“你很在意公平”的品质肯定；可直接停在被当众误解的委屈。","这条 F4 的 EX=0 合理；F4 可增加对模板化肯定的轻度扣分。","中",""
"9","同伴关系","共情型","唉，我最近总在想要不要跟小雅说……她这周一直跟新转来的同学吃饭，以前都是跟我一起的。是不是我上次说错什么话了，她才不想理我了？","你注意到自己没做错什么，却还在帮她找原因，这点很细心。 那种看着好朋友突然跟别人走很近的感觉，确实会让人心里空落落的，还忍不住怀疑自己。 先顾着自己纠结一会儿也没什么，不用急着想该怎么办。","1","2","1","2","2","1","P1","模板化/低信息量;强行积极/强行重构","模板化肯定;形容词复述;兜底安抚模板","“这点很细心”把自责包装成优点；后半是形容词复述加“不用急”的兜底。","F3+F4","是","不要把反复自责夸成细心；应承接被替代感和不确定感。","把自责重构成优点且无具体探索时，ER/IP 降分。","高",""
"10","同伴关系","共情型","嗯……就是，我昨天听说有同学在背后说我，也不是那种特别难听的，但就是说我很爱表现什么的……我也不知道是不是我平时说话太大声了，还是我真的做错了什么……","你注意到自己在别人眼里的样子，还能主动去想是不是自己哪里做得不对，这本身就挺不容易的。那种""不知道是不是自己错了""的感觉，比直接被人骂还要闷得慌。先别急着改什么，心里不舒服，就先承认这份不舒服，这样也没什么不对。","1","2","1","2","2","0","P1","模板化/低信息量;强行积极/强行重构","模板化肯定;兜底安抚模板;形容词复述","把被议论后的不安夸成“主动想自己哪里不对”，然后用“承认不舒服也没什么不对”兜底，信息增量低。","F3+F4","是","避免“这本身挺不容易”这种泛用肯定；聚焦被背后评价时的尴尬和自我怀疑。","候选主要由模板肯定和兜底安抚组成时，ER/IP 不应满分。","高",""
