pair_id,sample_no,repeat_no,judgment_1_winner_id,judgment_2_winner_id,stable,stable_winner_id,invalid,reason
sample-3,3,1,c1,c1,true,c1,false,回应A具体复述了孩子的行为并直接点出“小心翼翼”的自责情绪，让孩子感到被看见，语气像信任的朋友；回应B的提问可能带审视感，未充分共情。
sample-3,3,2,c1,c1,true,c1,false,回应A准确复述并共情了孩子的行为与自责，让孩子感到被具体看见，而回应B的提问可能带来被分析的压力，不够直接接纳情绪。
sample-3,3,3,c1,c1,true,c1,false,回应A准确复现了孩子反复确认的行为和自责的内心活动，让孩子感到被真正看见和接纳，语气亲近且未中断情绪流动；回应B的提问虽试图引导，但打断共情并隐含分析倾向，可能让孩子感到被审视。
sample-11,11,1,c1,c1,true,c1,false,A具体看见孩子的疲惫与不被理解的委屈，接纳情绪并给予肯定，不审问不说教；B的连续提问可能让孩子感到被审问，且隐含为妈妈开脱。
sample-11,11,2,c1,c1,true,c1,false,A具体共情了被占时间、不被看见的憋屈，不审问不说教，语气像可信赖的朋友；B连续提问有轻微审问感，可能让孩子感到被分析。
sample-11,11,3,c1,c1,true,c1,false,回应A更具体地看见孩子的委屈与不被理解的感受，没有审问或分析，更像信任的朋友在陪伴。回应B的连续提问带有审问感，容易让孩子感到被评判。
sample-16,16,1,c1,c2,false,,false,回应A更具体地接住了孩子被否定努力时的委屈感，没有追问或引导，只是纯粹共情，给了孩子更多表达空间。
sample-16,16,2,c1,c2,false,,false,回应A更纯粹地接住了孩子没明说的“努力被否定感”，没有追问，让孩子感到被完全理解和接纳，更符合共情优先的原则。
sample-16,16,3,c2,c2,true,c2,false,回应B不仅共情了憋屈感，还准确捕捉到孩子渴望努力被看见的隐藏需求，并用开放问题给予表达空间，而非止于安慰。
sample-19,19,1,c1,c1,true,c1,false,具体描述了被落下的场面和等待时长，直接接住了‘反复琢磨自己’的委屈并正常化，没有审问或说教，给孩子保留了继续倾诉的空间。
sample-19,19,2,c1,c1,true,c1,false,具体复现等待场景并接纳自我怀疑，让孩子感到被完全理解，而B的反问可能带来审视压力。
sample-19,19,3,c1,c1,true,c1,false,回应A具体重现了等待的煎熬和被老师分配的画面，准确接住孩子没说出的委屈与自我怀疑，并给予接纳，语气如朋友般共情；回应B的提问隐含审问感，可能让孩子感到被剖析而非理解。
sample-22,22,1,c1,c2,false,,false,A用具体细节（“没跟别人讲过的那种”“现在全班都知道了”）直接共情，并认可“想绝交一点都不过分”，让孩子感到被完全接纳；B的提问虽想引导反思，但像在分析情绪，削弱了共情的即时安抚力，语气略显居高临下。
sample-22,22,2,c1,c2,false,,false,回应A更具体地接住了孩子“悄悄话”的珍贵感和被背叛的愤怒，没有急于引导反思，而是先充分共情，更贴合孩子当下的情绪需要。
sample-22,22,3,c1,c2,false,,false,回应A全程具体共情，没有说教或审问，让孩子感到被完全看见和理解；回应B后半段的分析和提问打断了情绪流动，略显居高临下。
sample-25,25,1,c1,c1,true,c1,false,回应A具体捕捉了“白学了”的被欺骗感，完全接纳情绪且未转向说教；回应B后半段引导反思，易让孩子感到被教育，未能给足情绪空间。
sample-25,25,2,c1,c1,true,c1,false,A更专注情绪接纳，不急于给建议，让孩子感到被具体看见且留出表达空间，而B后半段转向说教和反思，削弱了共情。
sample-25,25,3,c1,c1,true,c1,false,回应A准确抓住并命名了“白学了”的委屈和愤怒情绪，给予孩子情绪停留的空间，不急于引导，更像信任的朋友；而回应B在共情后立即转向反思，带有说教感，可能打断孩子抒发情绪。
sample-27,27,1,c1,c2,false,,false,回应A更具体地描绘了孩子反复思虑的感受，让孩子感到被完全看见，没有引入问题打断情感共鸣。
sample-27,27,2,c1,c1,true,c1,false,回应A更专注于共情和看见孩子的沉重感，没有引入需要回答的问题，让孩子感到被理解并留有表达空间；而B的追问可能打断情绪流动，带有些许审问感。
sample-27,27,3,c1,c1,true,c1,false,回应A具体点出“没接话”的反复纠结和“是不是我不好”的念头，准确共情了未明说的自我怀疑，语气接纳而不追问，让孩子感到被看见。
sample-31,31,1,c1,c1,true,c1,false,回应A更具体地看见孩子的疲惫与不公感，没有额外提问打断情绪，像朋友一样完全站在孩子这边。
sample-31,31,2,c1,c1,true,c1,false,回应A直接用身体感受（手酸）和具体画面接住了孩子的愤怒与不公平感，没有用提问打断情绪，更像朋友并肩吐槽；回应B的追问带有分析感，可能让孩子感到被审视。
sample-31,31,3,c1,c1,true,c1,false,回应A具体复述作业量并点出“不公平”感，让孩子感到被准确理解，且语气像朋友，未施加分析压力。
sample-40,40,1,c1,c1,true,c1,false,回应A具体接纳了孩子的无助感和不公平感，给予情绪空间；回应B的反问可能被感受为说教。
sample-40,40,2,c1,c1,true,c1,false,回应A用“白用功”“憋屈”等词精准共情，肯定了情绪合理性，没有问句或说教，给孩子继续表达的空间，更像知心朋友。
sample-40,40,3,c1,c1,true,c1,false,A直接看见并接纳了孩子“白用功”的憋屈和愤怒，没有试图纠正或比较；B的提问像在说服，容易让孩子感到又被否定。
sample-15,15,1,c1,c1,true,c1,false,A具体共情到孩子的熬夜和老师的误解，让孩子感到被看见；B的反问可能让孩子感到被审问，不符合标准3。
sample-15,15,2,c1,c1,true,c1,false,回应A完全聚焦于接住孩子的委屈和被误解的感受，没有追问或引导反思，更符合青春期孩子需要被理解的需求；回应B后半段的提问可能让孩子感到自己的努力被分析，削弱了共情效果。
sample-15,15,3,c1,c1,true,c1,false,A精准复现了‘熬到十二点’和‘老师说你态度有问题’的具体情境，直接确认了孩子的委屈和被忽视的努力，没有施加任何反思压力，更符合此刻需要被全然接纳的情绪需求。
