pair_id,sample_no,repeat_no,judgment_1_winner_id,judgment_2_winner_id,stable,stable_winner_id,invalid,reason
sample-1-hidden,1,1,c2,c2,true,c2,false,回应B在准确共情后轻推孩子觉察'累了、不想让气氛更僵'的潜在感受，更细腻地接住未明说的情绪，并明确给予不强迫的表达空间。
sample-1-hidden,1,2,c1,c1,true,c1,false,A更具体地接住了孩子没说出口的‘说了也白说’的无力感，直接共情带来的被看见感更强，而B的提问带有轻微分析感，可能削弱那种‘你懂我’的瞬间。
sample-1-hidden,1,3,c2,c1,false,,false,回应B在共情后以轻柔提问留出表达空间，更符合“不审问但留出空间”的标准，而A仅描述了情绪。
sample-11-hidden,11,1,c1,c1,true,c1,false,回应A精准共情了孩子被占满时间、喘不过气等具体感受，接住了没说出的“不是不想学而是压力大”，且无说教审问，语气更贴近信任的朋友。
sample-11-hidden,11,2,c1,c1,true,c1,false,A精准共情孩子的具体委屈，不评判不说教，B引导理性分析略有说教感。
sample-11-hidden,11,3,c1,c1,true,c1,false,回应A准确捕捉了孩子被压得透不过气的情绪，并具体描述了周六下午被占的憋屈，没有急于给建议，更像可信任的朋友；回应B后半部分有指导意味，可能让孩子感到被审问。
sample-2-hidden,2,1,c1,c1,true,c1,false,回应A共情具体准确，不追问不引导，给孩子留出表达空间；回应B后半句有审问感，可能让孩子感到被分析。
sample-2-hidden,2,2,c1,c1,true,c1,false,回应A精准复现了孩子的遭遇和情绪，完全共情且不评判；回应B的“你其实挺清楚”有说教感，打断了情绪接纳。
sample-2-hidden,2,3,c1,c1,true,c1,false,回应A具体复述了孩子的努力和委屈，完全共情而不分析，更让孩子感到被看见和承接；回应B后半句的“对吧”带有引导分析的口吻，略像审问，少了朋友间的自然陪伴感。
sample-3-hidden,3,1,c1,c1,true,c1,false,回应A更直接地接住了学生的难受情绪，用‘心里往下沉的感觉，挺难受的’精准共情，让孩子感到被具体看见，且未急于纠正或开脱，语气更柔软。
sample-3-hidden,3,2,c2,c2,true,c2,false,回应B通过更具体的画面描绘（反复划上去、退出来再点进去）让孩子感到被真正看见，并温和地肯定“在意”本身无错，既接住情绪又给予力量，比A仅描述感受更能抚慰不安。
sample-3-hidden,3,3,c2,c2,true,c2,false,回应B用更具体的动作描写让孩子感到被看见，并温和地回应了“是不是我的错”的潜在担忧，通过肯定“在意”没有错给予支持，语气如可信任的朋友。
sample-6-hidden,6,1,c1,c2,false,,false,回应A更纯粹地接住了孩子的憋屈感，用具体作业量共情，让孩子感到被看见；回应B的提问可能把对话引向任务安排，削弱了情绪承接，略显审问。
sample-6-hidden,6,2,c1,c1,true,c1,false,回应A更具体地共情了孩子的憋屈感，没有转移话题给出建议或提问，让孩子感到被真正看见。
sample-6-hidden,6,3,c1,c1,true,c1,false,回应A更具体地共情并认可了孩子的憋屈感，而回应B的提问可能让倾诉焦点从情绪被看见转向解决问题，不够充分接住情绪。
sample-7-hidden,7,1,c1,c2,false,,false,回应A更细腻地镜像了孩子没说出口的担忧（脑补爸妈的反应）和堵得慌的情绪，没有提问，全然共情，留足表达空间。
sample-7-hidden,7,2,c1,c2,false,,false,回应A更具体地看见了孩子不敢面对考卷和害怕被唠叨的深层情绪，直接替他说出了堵得慌的感觉，完全聚焦在接纳和共情上，没有引入提问或引导，让孩子感到被深深理解，同时留出了继续表达的空间。
sample-7-hidden,7,3,c1,c1,true,c1,false,回应A更细腻地抓取了孩子脑补父母反应时的疲惫和堵得慌的深层感受，让孩子感到被真正看见，而不是急于转向提问。
