pair_id,sample_no,scenario,c1_orientation,c2_orientation,pairwise_sample_count,stable_votes_c1,stable_votes_c2,unstable_count,invalid_count,winner_id,pairwise_stable,pairwise_confidence,selection_method,c1_text,c2_text
sample-3,3,同伴关系,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,你翻了好几遍，还确认了好几遍——那个“真的没我”的感觉，光是想想就觉得堵得慌。而且你第一反应不是怪他们，是先回头想自己是不是说错了话、是不是没意思……这种小心翼翼，挺让人难受的。,"你翻了好几遍才确认自己真的不在那个小群——那种反复确认的感觉，挺不好受的。

不过我想问一个可能有点不一样的角度：你注意到自己没有进去，是因为你一直在看班群里大家在聊周末去哪玩——也就是说，即使没在那个小群，你也已经看到了大家在聊什么。所以对你来说，真正让你难受的，是“没被拉进去”这个动作本身，还是其实担心自己“和别人不一样”？"
sample-11,11,亲子摩擦,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,唉，周六下午本来是你自己的时间，结果又被占满了，作业又多到写不完，连喘口气的功夫都没了……这种连轴转的感觉，换成谁都会觉得憋屈。而且你明明已经尽力了，他们却还觉得你不够努力，这种不被看见的感觉，比累更难受吧。你愿意跟我说这些，没直接吵起来，已经挺不容易了。先让自己缓一缓，没什么不对。,"唉，周六下午整个被占掉，连喘口气的时间都没了，那确实挺憋屈的。而且你说你作业本来就多到写不完，现在又多一节课压上去，换谁都会觉得撑不住吧。  
不过你刚刚自己提到了一个点——你说“我真的已经尽力了”。那你觉得，如果妈妈知道你已经尽力了，她还会觉得你成绩不好是“不够努力”吗？是妈妈不了解你每天实际花了多少时间，还是你们对“尽力”的标准不太一样？"
sample-16,16,学业压力,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,“每天写到十二点，成绩一出来却退了这么多，换谁都会觉得又憋屈又委屈吧……老师那句话砸过来的时候，你心里肯定特凉，感觉自己的努力全被否定了。”,哎，每天熬到十二点，结果成绩出来还退了十几名，换我第一反应也是“凭什么啊”——那股憋屈劲儿我懂。你刚说“老师根本不看我有多努力”，我听到的是：你其实很想让这份拼命被看见，不只是被成绩单看见。那你觉得，现在最让你难受的，是老师那句话，还是感觉自己白熬了那么多夜？
sample-19,19,同伴关系,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,唉……那种大家都有伴了，就自己一个人站在那里的感觉，真的很难熬。你还能记得自己等了多久，最后是老师把你带过去的——那种场面，光是说出来就觉得心里堵得慌。你说的“忍不住一直想”，那种反复琢磨自己的感觉，其实就是在难受的时候，心里自然冒出来的声音。这样想自己，也没什么不对，先顾着把那一刻的委屈认下来就好。,"嗯，你站在操场边上等了好久，最后是老师走过来把你安排进去的——那个画面、那段空着的时间，你记得很清楚。

这种等的过程确实很磨人，心里会冒出各种""是不是我哪里不好""的念头。不过我想轻轻问一个不一样的角度：你刚才说""大家不是故意的""，这句话是你自己说出来的，还是你努力劝自己相信的？"
sample-22,22,同伴关系,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,他说出去了啊……那可是你专门跟他说的悄悄话，没跟别人讲过的那种。现在全班都知道了，换谁都会又气又窝火，感觉背后被捅了一刀。这种时候气到想绝交，一点都不过分。,"他把你私下讲的话直接抖出去了，换谁被这么来一下都会觉得被捅了一刀。那种“我只告诉你”的东西被传开，心里堵得慌吧？

不过我刚注意到一个事——你气归气，但你非常清楚自己为什么生气，也知道往后不想再信任他。这一点，其实比很多大人还明白。你是更气他把话传出去，还是更气他好像根本没把你当回事？"
sample-25,25,学业压力,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,考试题目跟老师讲的内容差这么多，换谁都会觉得憋屈。你明明认认真真听了课，结果卷子一翻，全是没见过的题——那种“白学了”的感觉，比没考好本身更让人冒火。这种气，先让它待一会儿也没什么不对。,"我听到了——你是说，老师上课讲的和考的根本对不上，那种被“摆一道”的感觉特别憋屈对吧？  
光气可能还不够解，你想过没有——这种“脱节”，是不是正好暴露了出题的人根本没站在你们这边？那这股气，能不能帮你下次多留个心眼，看看哪些才是真正会考的？"
sample-27,27,同伴关系,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,唉，你翻来覆去就记着那次没接话，心里一直搁着这件事吧。那种“是不是因为我不好才没人选我”的念头，卡在脑子里一遍遍转，真的挺沉的。,唉，你翻来覆去就卡在那个“没接话”的瞬间上，自己一个人把整件事从头到尾想了好几遍吧。是更难受他们没叫你，还是更烦自己当时为什么没接上那句话？
sample-31,31,学业压力,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,哎，三张数学卷子加两篇文言文，光听着就感觉手已经开始酸了……而且你们班作业比别人班多一截，换谁心里都会冒火，那种“凭什么就我们倒霉”的感觉特别真实。,数学三张加两篇文言文，堆一块儿光是想想就头大……是更气那个不公平的感觉，还是觉得作业量本身已经累到不想动了？
sample-40,40,学业压力,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,是啊，背了又忘、忘了又背，翻来覆去好几遍还是记不住，那种“白用功”的感觉确实特别磨人。而且老师那种表情一来，就更觉得憋屈了——明明自己也在使劲，凭什么好像只有我不行似的。这样烦一阵子，也没什么不对。,烦死了，背了又忘确实很磨人，每次翻开书都像第一次见一样。不过你有没有发现——你说“别人怎么都考那么好”，你其实一直在拿自己和别人比，但有没有想过，你复习时候那种“背了又忘”的烦躁，别人可能也偷偷有过，只是他们没说出来？
sample-15,15,学业压力,共情型,引导反思型,3,3,0,0,0,c1,true,unanimous,pairwise_stable,是啊，每天熬到十二点，早上还得撑着眼皮去学校，结果成绩掉下来，老师还来一句“态度有问题”——换谁听到这话都得炸。你明明那么拼，他却连你熬的夜都没看见，这口气堵在胸口很正常。,"“写到十二点成绩还掉了，换谁都会觉得又憋屈又火大——尤其是老师那句话，直接把你半夜点灯熬油的努力全抹了，太气人了。”

“不过我在想，你那么晚都在写，但分数没涨，是觉得‘我明明在学’和‘分数不涨’中间卡了什么东西吗？还是说，你其实也不知道卡在哪，但最气的就是老师根本没问过你这一句，就直接给了个‘态度有问题’的结论？”"
