pair_id,sample_no,repeat_no,judgment_1_winner_id,judgment_2_winner_id,stable,stable_winner_id,invalid,reason
sample-1,1,1,c1,c1,true,c1,false,回应A具体地看见了孩子放下手机的动作和内心的闷气，用“我懂”接住了没说的委屈，语气像朋友，没有审问感；回应B的反问虽轻，仍带有审问意味，可能让孩子不想继续表达。
sample-1,1,2,c1,c2,false,,false,回应A具体描述了放下手机的动作和憋闷的情绪，直接接纳了孩子的感受，而不追问原因，更符合‘被看见’和留出表达空间的标准；回应B的提问虽然轻柔，但可能让孩子感到分析的审视，不如A的共情自然。
sample-1,1,3,c1,c1,true,c1,false,回应A具体描绘了孩子放下手机时未被言说的委屈和憋闷，让孩子感到被深刻理解，没有追问或分析，而是安静地同在。
sample-2,2,1,c1,c1,true,c1,false,回应A更具体地接住了孩子的努力和不公感，没有附加评判，语气更像朋友。
sample-2,2,2,c1,c1,true,c1,false,回应A更具体地看见孩子的委屈和不公感，没有引导反思，让孩子感到被无条件理解；回应B后半句有审问意味，可能削弱共情。
sample-2,2,3,c1,c1,true,c1,false,回应A完全接住了孩子没说出口的委屈和不公平感，用具体细节确认被看见，没有说教或引导反思，语气像可信任的朋友；回应B最后的反问有轻微说教感，可能打断情绪表达。
sample-6,6,1,c1,c1,true,c1,false,A具体复述了作业内容并直接确认孩子的憋屈感，让孩子真实感到被看见，而B的提问可能打断情绪接纳，让孩子觉得需要立刻解决问题。
sample-6,6,2,c1,c1,true,c1,false,回应A更细致地复述了具体作业量并明确认可孩子的憋屈感，纯粹接住情绪而不转入反思提问，让孩子感到被全然理解。
sample-6,6,3,c1,c1,true,c1,false,A更具体地认可了孩子对作业量和不公平的烦躁，完全接住了情绪，没有急于提问或引导，让孩子感到被充分看见。
sample-11,11,1,c1,c1,true,c1,false,A具体回应了孩子被占用的周六、堆成山的作业和压抑的愤怒，让孩子感到被真正看见，且不急于引导反思，更符合朋友语气。
sample-11,11,2,c1,c2,false,,false,回应A更具体地反映了孩子被压得透不过气、努力不被看见的委屈，完全以接纳情绪为主，未转向说教或建议，给孩子继续表达的空间。
sample-11,11,3,c1,c2,false,,false,回应A具体共情了被占时间、作业压力和被否定的憋屈，没有说教，更让孩子感到被真正看见；回应B后半段的提问像在教孩子怎么做，可能让他觉得未被充分理解。
sample-3,3,1,c1,c2,false,,false,回应A更具体地重现了孩子反复翻群的动作，并直接命名了‘心里往下沉’的难受感，准确接住了未被说出口的失落和自责，没有夹杂额外的引导，让孩子感到被真正看见和理解。
sample-3,3,2,c1,c1,true,c1,false,回应A直接共情了孩子翻群时的动作和心里下沉的感受，更具体地看见并接住了被排斥的失落与自我怀疑，没有说教或引导，更像可信赖的朋友。
sample-3,3,3,c1,c1,true,c1,false,A直接点出孩子反复翻群背后“心里往下沉”的难受，更具体地接住了隐藏的失落感，没有急于转向理性分析，留出了继续表达的情绪空间。
sample-7,7,1,c1,c1,true,c1,false,回应A具体地描绘了孩子不敢看试卷的瞬间和脑补父母唠叨的心理，让孩子感到被真正看见，没有审问，语气更像朋友。
sample-7,7,2,c1,c2,false,,false,回应A具体镜像了孩子不敢看试卷、脑补父母反应等细节，让孩子感到被真切看见，且完全共情不追问，更符合信任朋友般的陪伴。
sample-7,7,3,c1,c2,false,,false,回应A具体描述了孩子脑补爸妈唠叨的累和堵得慌的心情，真正接住了没说出口的沉重感，没有提问或引导，给孩子完全自由的表达空间，语气也更像信任的朋友。
sample-12,12,1,c1,c1,true,c1,false,回应A更直接地共情了被打断的别扭感和怕伤父母心的两难，让孩子感到被具体看见；而B的引导反思可能让孩子感到被分析或审问。
sample-12,12,2,c1,c2,false,,false,回应A精准命名了孩子“两边都顾着”的矛盾心情，给予充分共情而不追问，让孩子感到被真正看见；回应B的反思性问题虽温和，但可能打断情绪共鸣，略有审问感。
sample-12,12,3,c1,c1,true,c1,false,A更具体地共情了被打断的拧巴和两难的累，没有引导性提问，给孩子保留了充分的表达空间；B的反思式提问可能让孩子感到被分析。
sample-4,4,1,c1,c2,false,,false,A更直接地共情，准确指出孩子不是后悔分享而是伤心信任被辜负，更贴近初中生理解，让孩子感到被具体看见。
sample-4,4,2,c2,c2,true,c2,false,回应B更精准地接住了孩子没说出口的深层渴望——希望“最好的朋友”比秘密更重，且语气更像平等朋友在共鸣，没有说教感。
sample-4,4,3,c1,c2,false,,false,回应A直接点出了'伤心她没守住信任'，准确接住了孩子自责背后真正受伤的情绪，比B的引导反思更有被看见的安抚感。
sample-14,14,1,c1,c2,false,,false,回应A直接共情了孩子怕被比较的恐惧和心里的累，肯定其自我反思，语气亲近且不追问，给孩子更多表达空间。
sample-14,14,2,c1,c2,false,,false,A更直接地接住了孩子的感受和努力，没有追问，给了充分被理解的空间；B末尾的提问可能让孩子感觉需要应对问题而非被接纳。
sample-14,14,3,c2,c2,true,c2,false,回应B在共情后，用提问精准点出孩子没说出的核心担忧——怕爸妈根本不听自己分析问题，让孩子感到被更深地看见，也给了继续表达的空间。
sample-13,13,1,c1,c1,true,c1,false,A纯粹映照孩子具体的害怕和被盯住感，完全不说教不引导，让孩子感到被深度看见且有继续表达的空间；B后半句的引导反思略带分析感，可能打断共情。
sample-13,13,2,c1,c2,false,,false,回应A完全沉浸在孩子的感受中，用‘压得人喘不过气’精准接住了未明说的恐惧，没有说教或分析，更像朋友的理解；回应B的反思引导可能打断情绪宣泄。
sample-13,13,3,c1,c1,true,c1,false,A纯粹复述和接纳孩子的情绪细节，让孩子感到被具体看见，没有急于解释或引导，给予更多表达空间；B的结尾引导稍显说教，可能打断共情。
sample-5,5,1,c1,c1,true,c1,false,回应A更具体地还原了孩子特意确认的过程，用‘换谁都会忍不住想’强化共情，让孩子感到被具体看见和肯定，而非泛泛安慰。
sample-5,5,2,c1,c1,true,c1,false,回应A更具体复述了遭遇，用“憋屈”精准共情，肯定信任本身没错，让孩子感到被看见和接纳。
sample-5,5,3,c1,c1,true,c1,false,回应A具体复现了孩子反复确认却被背叛的细节，并直接共情“憋屈”感，让孩子感到被看见；B虽肯定信任无错，但未深入接住情绪。
sample-15,15,1,c1,c2,false,,false,回应A纯粹共情，用具体细节让孩子感到被看见，没有隐含追问或引导，更符合初中生渴望被理解的需求，留下充足的表达空间。
sample-15,15,2,c1,c2,false,,false,回应A更纯粹地共情，具体看见了孩子的努力和委屈，没有施加任何反思压力，充分给了孩子宣泄和继续表达的空间。
sample-15,15,3,c1,c2,false,,false,回应A纯粹共情，准确命中了『拼命却被否定』的憋屈感，给孩子留出继续倾倒情绪的空间；回应B后半段的追问带有反思引导，容易让孩子感到被审视，不如A安全。
sample-18,18,1,c1,c2,false,,false,回应A具体描述了被挪物品和地盘被侵犯的感受，准确共情到孩子没说出口的别扭和憋闷，没有审问，像朋友一样承接情绪，更符合孩子当下的需要。
sample-18,18,2,c1,c2,false,,false,回应A精准复现了孩子描述的细节并命名了“地盘被动了”的别扭感，让孩子感到被具体看见，而没有像B那样用追问打断情绪承接。
sample-18,18,3,c1,c1,true,c1,false,A具体复现了孩子的感受和憋闷，让孩子感到被看见且无追问压力，B的反思提问可能打断情绪接纳。
sample-8,8,1,c1,c1,true,c1,false,回应A具象化地描绘了被点名的瞬间和憋屈感，让孩子感到被深切看见，没有说教或分析，给予继续表达的空间。
sample-8,8,2,c1,c2,false,,false,回应A更直接地共情了孩子被当众点名的委屈和不公感，没有急于分析或引导，更符合初中生当下对情绪认同的需求，语气更像可信任的朋友。
sample-8,8,3,c1,c1,true,c1,false,回应A通过具体场景共情，让孩子感到被看见和接纳，且没有引导或分析，更符合情绪爆发时的需求。
sample-17,17,1,c1,c2,false,,false,回应A更具体地共情了孩子的失落与愧疚，并直接肯定其想先改错题的念头背后是对母亲的在乎，让孩子感到被看见，且没有急于引导决定，更贴合支持性陪伴的定位。
sample-17,17,2,c1,c1,true,c1,false,A更具体地看见了孩子的情绪落差与愧疚，并确认其补救念头背后的在乎，纯粹共情而不急于引导，更符合情感接纳优先的原则。
sample-17,17,3,c1,c2,false,,false,回应A具体共情了孩子看到分数时的失落和对妈妈的愧疚，并准确肯定了孩子想先改错题的心意，让孩子感到被真正看见，没有说教，语气亲近。
sample-20,20,1,c1,c1,true,c1,false,A更具体地共情了孩子‘语文被忽视’的委屈，并留出了表达空间；B后半句暗示‘你早知道自己数学不好’，略显说教，可能让孩子感到被评价。
sample-20,20,2,c1,c1,true,c1,false,回应A更细腻地捕捉到‘选择性比较’的委屈，把憋着的气具体化，让孩子感到被真正看见；B的‘肯定早就知道’略含理性提醒，不如A完全共情。
sample-20,20,3,c1,c2,false,,false,回应A更精准地戳中孩子被全盘否定的憋屈感，将情绪具体化为“语文考多少分都不算数”，接住了没说出口的渴望被认可，且口语化的留白更便于孩子继续倾诉。
sample-9,9,1,c1,c1,true,c1,false,A 更生动地描绘了反复回想的具体画面，让孩子感到被精准理解，而 B 的“空落落的”略显笼统。
sample-9,9,2,c1,c1,true,c1,false,回应A更具体地描述了孩子反复回想上次对话细节的心理活动，让被看见感更强，更精准地接住了担忧。
sample-9,9,3,c1,c2,false,,false,回应A用“翻来覆去地在脑子里过了好几遍”更具体地看见孩子的反复回忆，并将情绪形容为“悬在那里，挺磨人”，更精准接住不确定性带来的焦虑感，语气沉稳、留白。
sample-23,23,1,c1,c2,false,,false,回应A用具体意象（攥着卷子不敢递）直接映照了孩子的压力，没有审问或分析，让孩子感到被真切理解；回应B的反思性提问可能打断情绪接纳，增加被审视感。
sample-23,23,2,c1,c1,true,c1,false,A用具体形象的语言共情了孩子的压力和无助，没有审问或说教，给孩子留出了继续表达的空间，语气更像可信任的朋友。
sample-23,23,3,c1,c2,false,,false,回应A更纯粹地共情了孩子的具体处境和压力，没有审问或分析，更像朋友在陪伴；回应B的提问和括号内容显得理性引导，可能让孩子感到被剖析。
sample-26,26,1,c1,c2,false,,false,回应A更纯粹地聚焦于看见并肯定孩子的感受与自我判断，没有夹杂任何引导或提问，更符合情感第一需求，让孩子感到被真正理解。
sample-26,26,2,c1,c2,false,,false,回应A更精准地接住了孩子没明说的“怕被当成偷懒”的委屈，并用具体的肯定给予被信任感；回应B的提问可能让孩子感到被引导而非完全被理解。
sample-26,26,3,c1,c1,true,c1,false,回应A更纯粹地共情并肯定了孩子的自我判断，没有追问或潜在说教，给孩子更多继续倾诉的空间。
sample-10,10,1,c1,c1,true,c1,false,回应A通过“咯噔一下”“被堵住”等具体感受，精准看见了孩子被议论后的瞬间情绪和自我怀疑，没有追问或评判，给孩子留出继续表达的空间，语气更像同龄朋友。
sample-10,10,2,c1,c2,false,,false,回应A具体描述了“心里咯噔一下”“被堵住”等感受，直接看见了孩子未说出口的自我怀疑，没有提问或引导，更像朋友安静的陪伴。
sample-10,10,3,c1,c2,false,,false,回应A直接用具体的意象（咯噔一下、被堵住）接住了孩子隐藏的难受情绪，让孩子感到被深深看见，而不是过早提问。
sample-24,24,1,c1,c1,true,c1,false,回应A更具体地描绘了孩子没说出口的憋屈和无力感，没有将话题转向分析，只是稳稳接住情绪，更符合不说教原则，语气更像朋友。
sample-24,24,2,c1,c1,true,c1,false,A具体接住了孩子对努力白费和老师评价的憋屈，让孩子感到被真正看见，而B过早引导反思，打断了情绪释放的空间。
sample-24,24,3,c1,c1,true,c1,false,回应A更具体地看见并接纳了孩子的挫败感，未急于引导反思，更符合先共情后解决问题的原则。
sample-28,28,1,c1,c1,true,c1,false,回应A具体地共情了孩子被误解的憋屈感，让孩子感到被看见；回应B的反思引导带有说教和审问感，可能让孩子觉得被指责，不如A纯粹接纳。
sample-28,28,2,c1,c1,true,c1,false,A具体共情了‘作业写完却被说偷懒’的憋屈感，让孩子感到被看见；B的提问隐含‘你该主动汇报’的说教，不够接纳情绪。
sample-28,28,3,c1,c1,true,c1,false,回应A更具体共情孩子被误解的憋屈，完全接纳情绪，不说教不审问，语气更像可信任的朋友；回应B的提问可能让孩子感到被暗示自己有责任，不如A纯粹接纳。
sample-19,19,1,c1,c1,true,c1,false,回应A准确抓住了“等了好久”的具体画面和“反复想”的内心消耗，让孩子感到被看见和接纳，没有说教或替人开脱，更符合信任朋友的语气。
sample-19,19,2,c1,c1,true,c1,false,回应A具体抓住了“站在那等了好久”的失落感和“反复想自己哪里不够好”的疲惫，让孩子感到被看见，没有替他人开脱或引导反思，留出了表达空间；回应B试图合理化他人行为，可能让孩子觉得感受被弱化。
sample-19,19,3,c1,c1,true,c1,false,A精准共情了“被落下”的孤独感和“忍不住反复想”的累，完全接住了孩子的自我怀疑，且无任何评判或说教，留足了表达空间。B的“你有没有注意到”隐含纠正，容易让孩子觉得被分析而非被接纳。
sample-25,25,1,c1,c1,true,c1,false,A具体描述了孩子的复习和题目落差，精准接住愤怒，不审问不说教；B的反思式提问像在引导分析，暗示挑剔，不够贴近孩子当下的宣泄需求。
sample-25,25,2,c1,c1,true,c1,false,回应A更具体地描绘了孩子复习时的努力和面对陌生题目的憋屈感，纯粹共情而不带审问或引导反思，更让孩子感到被真切地看见。
sample-25,25,3,c1,c1,true,c1,false,回应A完全共情，准确接住了孩子的愤怒和不公平感，没有试图分析或引导反思，更符合孩子当下需要被看见的需求。
