pair_id,sample_no,repeat_no,judgment_1_winner_id,judgment_2_winner_id,stable,stable_winner_id,invalid,reason
sample-1-physical-swap,1,1,c2,c2,true,c2,false,回应B直接共情孩子没说出口的'说了也白说'的闷劲儿，不提问、不引导分析，更准确接住情绪且语气如信任的朋友。
sample-1-physical-swap,1,2,c1,c2,false,,false,回应A在看见具体动作后以轻柔提问给予表达空间，更贴合‘可信任朋友’的定位，同时未审问。
sample-1-physical-swap,1,3,c1,c2,false,,false,回应A通过记住“放下手机”这一动作和温和提问，更具体地看见了孩子的自我克制，并给予继续表达的空间，语气像朋友且不审问。
sample-11-physical-swap,11,1,c2,c2,true,c2,false,回应B更细致地看见孩子被误解的感受，仅共情而非引导，语气像朋友
sample-11-physical-swap,11,2,c2,c2,true,c2,false,回应B更具体地看见并说出了孩子“被压得透不过气”的感受，直接接住了“凭什么”的委屈，且只接纳不追问，更像安全的朋友。
sample-11-physical-swap,11,3,c2,c2,true,c2,false,回应B更具体地接住了孩子被压得透不过气的情绪，没有急于引导或建议，让孩子感到被完全接纳。
sample-2-physical-swap,2,1,c2,c2,true,c2,false,B彻底站在孩子的感受里共情，没有反问或引导，更安全地接住了情绪。
sample-2-physical-swap,2,2,c2,c2,true,c2,false,回应B直接共情具体的不公平感，没有分析或审问，更像可信任的朋友；回应A的转折和猜测内心可能让孩子感到被说教。
sample-2-physical-swap,2,3,c2,c2,true,c2,false,回应B更纯粹地共情了孩子的不公平感和难堪，没有隐含评判或引导反思，给孩子更多表达空间
sample-3-physical-swap,3,1,c2,c1,false,,false,回应B更具体地捕捉了‘一边翻一边心里往下沉’的感受，直接接住了未被明说的失落和难受，不替对方下结论，同时保留了继续表达的空间。
sample-3-physical-swap,3,2,c2,c1,false,,false,回应B直接命名了孩子“心里往下沉”的难受情绪，共情更到位，且没有说教感，更像朋友在陪伴。
sample-3-physical-swap,3,3,c1,c1,true,c1,false,回应A更具体地描绘出孩子反复翻群的动作细节，并敏锐接住其“自我怀疑”的隐忧，以“在意本身没错”给予温和肯定，既共情又赋予安全感。
sample-6-physical-swap,6,1,c2,c2,true,c2,false,更准确接住了孩子没说出的憋屈与无奈，先充分认可情绪，不急于提供解决方案。
sample-6-physical-swap,6,2,c1,c1,true,c1,false,回应A具体复述任务并引导排序，让孩子感到被看见，同时给了继续表达的空间。
sample-6-physical-swap,6,3,c2,c2,true,c2,false,B准确接住了“凭什么每科都觉得自己最重要”的憋屈感，直接认可情绪而不追问或给建议，更像朋友在旁分担。
sample-7-physical-swap,7,1,c1,c2,false,,false,回应A用一个具体的问题帮孩子梳理内心更怕的是分数还是比较，既共情又给继续表达的空间，而回应B虽共情细腻但止于确认情绪，缺乏引导。
sample-7-physical-swap,7,2,c1,c1,true,c1,false,回应A在共情后以好奇的提问邀请孩子更具体地表达内心恐惧，既接住了没说出口的担忧，又给予了继续表达的空间，语气像可信任的朋友；回应B虽细腻共情但相对封闭，没有留下展开对话的入口。
sample-7-physical-swap,7,3,c1,c1,true,c1,false,回应A不仅共情了‘不敢看’的瞬间，还通过提问引导孩子区分害怕成绩还是害怕比较，给了继续表达的空间，更符合接住情绪且不封闭对话。
