sample_no,scenario,orientation,用户倾诉,对话历史,候选文本,A_ER,A_IP,A_EX,B_ER,B_IP,B_EX,
1,亲子摩擦,引导反思型,我爸今天又说我玩手机。我没顶嘴，就把手机放下了。说什么呢，说了他也是那一套，不如不说。,[],"你刚才没顶嘴、直接放下手机，这个选择挺清醒的——你很清楚跟他吵起来只会更累。  
心里那点憋着的劲儿，好像比吵一架还沉，对吧？  
不过你有没有注意到——你其实在保护自己不被那套话再砸一遍，这本身就是一种判断力。",1,2,0,1,1,1,
2,同伴关系,引导反思型,我真的服了，今天数学课上老师非让我上去做题，我明明在草稿上演算了的，就是最后一步算错了，她就在全班面前说“你上课到底听没听？”我周围好几个人都在笑，我脸都红到脖子根了！凭什么就点我啊，前排那几个也错了她怎么不说？太不公平了吧！,[],你当时在台上被那么多人看着，最后一步算错还被点名，换谁都会觉得又丢脸又憋屈。不过你记得自己每一步都演算过，只是最后写错——说明你其实很清楚自己会做，不是真的没听懂。,1,2,1,0,1,1,
3,同伴关系,共情型,就昨天嘛，我看班群里大家都在聊周末去哪玩，我翻了好几遍，确认了好几遍，真的没有拉我进那个小群……我就一直在想，是不是我上次说错什么话了？还是他们其实觉得我挺没意思的。,"[{""role"": ""student"", ""text"": ""就昨天嘛，我看班群里大家都在聊周末去哪玩，我翻了好几遍，确认了好几遍，真的没有拉我进那个小群……我就一直在想，是不是我上次说错什么话了？还是他们其实觉得我挺没意思的。""}, {""role"": ""assistant"", ""text"": ""你注意到自己翻了好几遍，还认真回想是不是自己说错了话——你其实挺在意和朋友之间的细节的，这种细心不是每个人都有。  \n不过我在想啊，有时候没被拉进群，不一定是因为你“说错什么”或“没意思”，也可能只是他们拉群的时候随手选了最近聊过天的那几个人。你看到的那个“没拉进去”，和你感受到的“被排除”，中间说不定还隔着一个随机操作呢。""}]","你翻了好几遍、确认了好几遍，说明你真的很在乎这段关系，这种认真不是每个人都会有的。  
那种反复检查、又怕自己哪里不对的感觉，挺难受的吧——明明没做错什么，却忍不住怀疑自己。  
先停在这儿也没关系，不用急着想通。",1,1,0,1,2,0,
4,同伴关系,引导反思型,我明明跟她说过不要告诉别人……她是我最好的朋友啊。你说是不是我一开始就不该跟她讲？是不是我太容易相信别人了。,[],"你愿意跟她说，说明你很看重这段友情，也敢把心里话交出去——这其实挺难得的。  
她没守住秘密，你失望很正常。不过你有没有想过，让你难过的可能不只是秘密被说出去，更是“最好的朋友”这个身份让你格外意外？",1,0,2,0,2,2,
5,同伴关系,共情型,我跟她说了，她说不会告诉别人……结果好几个人都知道了。是不是我太天真了，不该跟她说这些？,[],你愿意信任别人，这本身不是错。她答应你却没做到，不是你的问题。现在觉得有点失望、有点尴尬，也很正常——先照顾好自己的心情，不用急着怪自己。,1,2,0,1,2,1,
6,学业压力,引导反思型,唉，我真的快烦死了……凭什么所有老师都觉得他们那科最重要啊！数学作业三张卷子，语文还要写作文，英语单词背不完，这堆东西写到明天也写不完吧？明明时间就那么多，非得挤一起，太不公平了！,[],数学三张卷子加语文作文再加英语单词，光是数一遍都感觉肩膀沉了——你被好几门课同时追着跑，那种被扯来扯去的感觉确实很让人烦。不过你刚才把每科的量都记得这么清楚，说明你心里其实很清楚自己面对的是什么，这本身就能帮你少做点白费力气的事。,1,1,1,0,2,0,
7,学业压力,共情型,唉，这次月考又考砸了，数学才七十多分……试卷发下来的时候我都不敢看，现在更不知道怎么跟我爸妈开口。他们最近老拿我跟隔壁班那个谁比，我都怕他们一知道成绩又要开始唠叨了。你说我该不该主动跟他们说啊？还是等他们问起来再想办法解释？,[],你刚才说“试卷发下来的时候我都不敢看”，那个瞬间的害怕，我隔着屏幕都能感觉到——不是怕分数本身，是怕那个分数一出来，又要面对一轮比较和唠叨。光是想象那个画面就已经够累的了，所以你现在想躲一躲，或者想先想好怎么开口，这都很正常。先让自己缓一缓，没什么不对。,1,0,1,2,2,1,
8,同伴关系,共情型,我真的受不了了！今天数学课我就低头看了一眼橡皮，老师直接喊我站起来，当着全班说我不认真听讲。她怎么不问问别人啊？难道就我一个人没听懂吗！也太不公平了吧！,[],被老师当众点名批评确实挺难受的，尤其是明明自己没做错什么的时候。你能这样直接说出来，说明你很在意公平这件事，这一点挺好的。,1,1,0,2,2,1,
9,同伴关系,共情型,唉，我最近总在想要不要跟小雅说……她这周一直跟新转来的同学吃饭，以前都是跟我一起的。是不是我上次说错什么话了，她才不想理我了？,[],"你注意到自己没做错什么，却还在帮她找原因，这点很细心。  
那种看着好朋友突然跟别人走很近的感觉，确实会让人心里空落落的，还忍不住怀疑自己。  
先顾着自己纠结一会儿也没什么，不用急着想该怎么办。",1,2,1,0,2,1,
10,同伴关系,共情型,嗯……就是，我昨天听说有同学在背后说我，也不是那种特别难听的，但就是说我很爱表现什么的……我也不知道是不是我平时说话太大声了，还是我真的做错了什么……,[],"你注意到自己在别人眼里的样子，还能主动去想是不是自己哪里做得不对，这本身就挺不容易的。那种""不知道是不是自己错了""的感觉，比直接被人骂还要闷得慌。先别急着改什么，心里不舒服，就先承认这份不舒服，这样也没什么不对。",1,1,0,0,2,1,
